fixed_acidity,volatile_acidity,total_sulfur_dioxide,alcohol,quality,color
6.7,0.75,80.0,10.1,5,red
8.3,0.625,119.0,9.1,4,red
6.2,0.45,15.0,9.2,5,red
7.8,0.43,67.0,9.4,5,red
7.4,0.5,73.0,9.1,5,red
7.3,0.67,51.0,9.4,5,red
6.3,0.3,61.0,10.3,6,red
6.9,0.55,40.0,10.1,5,red
8.6,0.49,136.0,9.9,6,red
7.7,0.49,31.0,9.6,5,red
9.3,0.39,125.0,9.5,5,red
7.0,0.62,24.0,9.0,5,red
7.9,0.52,140.0,9.5,5,red
8.6,0.49,136.0,9.9,6,red
8.6,0.49,133.0,9.8,5,red
7.7,0.49,31.0,9.6,5,red
5.0,1.02,85.0,10.5,4,red
4.7,0.6,106.0,12.9,6,red
6.8,0.775,23.0,10.7,5,red
7.0,0.5,22.0,9.2,5,red
7.6,0.9,10.0,9.8,5,red
8.1,0.545,35.0,9.0,6,red
8.3,0.61,50.0,10.2,6,red
7.8,0.5,22.0,10.4,6,red
8.1,0.545,35.0,9.0,6,red
8.1,0.575,65.0,9.2,5,red
7.2,0.49,36.0,9.4,5,red
8.1,0.575,65.0,9.2,5,red
7.8,0.41,69.0,9.3,5,red
6.2,0.63,64.0,9.3,5,red
8.0,0.33,80.0,9.6,6,red
8.1,0.785,153.0,9.3,5,red
7.8,0.56,47.0,9.5,5,red
8.4,0.62,108.0,9.8,5,red
8.4,0.6,111.0,9.8,5,red
10.1,0.31,46.0,9.7,6,red
7.8,0.56,47.0,9.5,5,red
9.4,0.4,62.0,10.5,6,red
8.3,0.54,40.0,10.0,6,red
7.8,0.56,28.0,9.4,6,red
8.8,0.55,56.0,10.9,6,red
7.0,0.69,89.0,9.2,6,red
7.3,1.07,89.0,9.0,5,red
8.8,0.55,56.0,10.9,6,red
7.3,0.695,13.0,9.2,5,red
8.0,0.71,34.0,9.5,5,red
7.8,0.5,102.0,9.5,5,red
9.0,0.62,90.0,9.4,5,red
8.2,1.33,12.0,10.9,5,red
8.1,1.33,12.0,10.9,5,red
8.0,0.59,16.0,10.5,7,red
6.1,0.38,19.0,9.4,5,red
8.0,0.745,134.0,9.4,5,red
5.6,0.5,99.0,13.0,5,red
5.6,0.5,99.0,13.0,5,red
6.6,0.5,26.0,9.8,6,red
7.9,1.04,29.0,9.9,6,red
8.4,0.745,63.0,9.6,5,red
8.3,0.715,52.0,9.5,5,red
7.2,0.415,45.0,9.2,5,red
7.8,0.56,105.0,9.5,5,red
7.8,0.56,108.0,9.5,5,red
8.4,0.745,63.0,9.6,5,red
8.3,0.715,52.0,9.5,5,red
5.2,0.34,63.0,14.0,6,red
6.3,0.39,20.0,9.4,5,red
5.2,0.34,63.0,14.0,6,red
8.1,0.67,141.0,9.4,5,red
5.8,0.68,94.0,10.0,5,red
7.6,0.49,88.0,9.3,5,red
6.9,0.49,30.0,10.2,6,red
8.2,0.4,43.0,10.5,6,red
7.3,0.33,11.0,10.3,6,red
9.2,0.52,69.0,9.4,4,red
7.5,0.6,99.0,10.1,5,red
7.5,0.6,99.0,10.1,5,red
7.1,0.43,129.0,10.5,5,red
7.1,0.43,128.0,10.5,5,red
7.1,0.43,129.0,10.5,5,red
7.1,0.43,128.0,10.5,5,red
7.1,0.68,22.0,9.3,5,red
6.8,0.6,86.0,9.3,6,red
7.6,0.95,20.0,9.6,5,red
7.6,0.68,20.0,9.2,4,red
7.8,0.53,31.0,10.0,6,red
7.4,0.6,121.0,9.4,5,red
7.3,0.59,121.0,9.4,5,red
7.8,0.63,96.0,9.5,5,red
6.8,0.64,101.0,10.2,5,red
7.3,0.55,42.0,9.0,4,red
6.8,0.63,44.0,10.4,6,red
7.5,0.705,63.0,9.5,5,red
7.9,0.885,8.0,9.1,4,red
8.0,0.42,18.0,9.2,6,red
8.0,0.42,18.0,9.2,6,red
7.4,0.62,42.0,11.5,6,red
7.3,0.38,35.0,9.5,5,red
6.9,0.5,49.0,9.5,5,red
7.3,0.38,35.0,9.5,5,red
7.5,0.52,38.0,10.5,6,red
7.0,0.805,20.0,9.6,5,red
8.8,0.61,42.0,9.5,5,red
8.8,0.61,42.0,9.5,5,red
8.9,0.61,110.0,9.3,5,red
7.2,0.73,42.0,9.3,5,red
6.8,0.61,65.0,9.3,5,red
6.7,0.62,62.0,9.3,6,red
8.9,0.31,85.0,9.7,5,red
7.4,0.39,67.0,9.2,5,red
7.7,0.705,26.0,9.7,5,red
7.9,0.5,143.0,9.5,5,red
7.9,0.49,144.0,9.5,5,red
8.2,0.5,127.0,9.4,5,red
6.4,0.37,49.0,9.8,6,red
6.8,0.63,126.0,9.5,5,red
7.6,0.55,28.0,9.7,5,red
7.6,0.55,28.0,9.7,5,red
7.8,0.59,120.0,9.4,5,red
7.3,0.58,55.0,10.2,5,red
11.5,0.3,27.0,10.1,6,red
5.4,0.835,93.0,13.0,7,red
6.9,1.09,31.0,11.4,4,red
9.6,0.32,24.0,10.3,7,red
8.8,0.37,145.0,9.3,5,red
6.8,0.5,49.0,9.5,5,red
7.0,0.42,39.0,9.2,5,red
7.0,0.43,37.0,9.2,6,red
12.8,0.3,28.0,10.8,7,red
12.8,0.3,28.0,10.8,7,red
7.8,0.57,120.0,9.3,5,red
7.8,0.44,95.0,9.4,5,red
11.0,0.3,19.0,10.5,7,red
9.7,0.53,19.0,12.4,6,red
8.0,0.725,62.0,10.0,6,red
11.6,0.44,15.0,10.2,6,red
8.2,0.57,65.0,10.1,5,red
7.8,0.735,41.0,9.8,6,red
7.0,0.49,121.0,10.5,5,red
8.7,0.625,49.0,11.0,5,red
8.1,0.725,41.0,9.1,5,red
7.5,0.49,44.0,9.7,5,red
7.8,0.53,144.0,9.5,5,red
7.8,0.34,58.0,9.4,6,red
7.4,0.53,72.0,9.4,5,red
6.8,0.61,10.0,9.5,5,red
8.6,0.645,28.0,10.0,6,red
8.4,0.635,55.0,10.4,4,red
7.7,0.43,63.0,10.5,6,red
8.9,0.59,81.0,9.5,6,red
9.0,0.82,23.0,9.8,5,red
7.7,0.43,63.0,10.5,6,red
6.9,0.52,37.0,11.0,5,red
5.2,0.48,106.0,12.2,7,red
8.0,0.38,49.0,9.9,6,red
8.5,0.37,58.0,9.6,6,red
6.9,0.52,37.0,11.0,5,red
8.2,1.0,37.0,9.0,6,red
7.2,0.63,38.0,9.0,6,red
7.2,0.63,38.0,9.0,6,red
7.2,0.645,39.0,9.2,6,red
7.2,0.63,38.0,9.0,6,red
8.2,1.0,37.0,9.0,6,red
8.9,0.635,62.0,9.3,5,red
12.0,0.38,24.0,10.9,6,red
7.7,0.58,109.0,9.8,6,red
15.0,0.21,24.0,9.2,7,red
15.0,0.21,24.0,9.2,7,red
7.3,0.66,23.0,9.9,6,red
7.1,0.68,51.0,9.5,5,red
8.2,0.6,73.0,9.3,5,red
7.7,0.53,39.0,9.8,6,red
7.3,0.66,23.0,9.9,6,red
10.8,0.32,37.0,10.0,6,red
7.1,0.6,34.0,9.9,6,red
11.1,0.35,21.0,10.5,5,red
7.7,0.775,86.0,9.5,5,red
7.1,0.6,34.0,9.9,6,red
8.0,0.57,119.0,9.3,5,red
9.4,0.34,13.0,9.2,5,red
6.6,0.695,56.0,9.2,5,red
7.7,0.41,45.0,9.4,5,red
10.0,0.31,33.0,10.5,7,red
7.9,0.33,45.0,9.3,5,red
7.0,0.975,67.0,9.4,4,red
8.0,0.52,35.0,10.0,5,red
7.9,0.37,49.0,9.3,5,red
12.5,0.56,27.0,10.9,5,red
11.8,0.26,10.0,10.2,7,red
8.1,0.87,61.0,9.8,4,red
7.9,0.35,37.0,12.8,8,red
6.9,0.54,27.0,9.4,6,red
11.5,0.18,23.0,10.1,6,red
7.9,0.545,61.0,10.7,6,red
11.5,0.18,23.0,10.1,6,red
10.9,0.37,65.0,10.1,5,red
8.4,0.715,38.0,9.4,5,red
7.5,0.65,94.0,9.4,5,red
7.9,0.545,61.0,10.7,6,red
6.9,0.54,27.0,9.4,6,red
11.5,0.18,23.0,10.1,6,red
10.3,0.32,13.0,12.6,8,red
8.9,0.4,47.0,10.5,7,red
11.4,0.26,19.0,9.3,6,red
7.7,0.27,10.0,9.9,7,red
7.6,0.52,53.0,9.1,5,red
8.9,0.4,47.0,10.5,7,red
9.9,0.59,71.0,9.8,5,red
9.9,0.59,71.0,9.8,5,red
12.0,0.45,49.0,10.3,6,red
7.5,0.4,53.0,10.3,6,red
8.7,0.52,49.0,10.6,7,red
11.6,0.42,98.0,9.2,5,red
8.7,0.52,49.0,10.6,7,red
11.0,0.2,18.0,10.5,5,red
10.4,0.55,48.0,10.3,6,red
6.9,0.36,16.0,10.1,6,red
13.3,0.34,53.0,9.5,6,red
10.8,0.5,27.0,9.5,5,red
10.6,0.83,70.0,9.9,5,red
7.1,0.63,29.0,9.6,5,red
7.2,0.65,31.0,9.7,5,red
6.9,0.67,33.0,9.6,5,red
7.5,0.53,44.0,10.7,6,red
11.1,0.18,15.0,10.1,6,red
8.3,0.705,28.0,10.0,5,red
7.4,0.67,21.0,9.5,5,red
8.4,0.65,90.0,9.2,5,red
10.3,0.53,25.0,9.3,6,red
7.6,0.62,54.0,9.4,5,red
10.3,0.41,14.0,9.5,6,red
10.3,0.43,12.0,9.5,6,red
7.4,0.29,30.0,9.5,6,red
10.3,0.53,25.0,9.3,6,red
7.9,0.53,105.0,9.4,6,red
9.0,0.46,98.0,9.5,6,red
8.6,0.47,135.0,9.4,5,red
7.4,0.36,72.0,11.0,5,red
7.1,0.35,53.0,11.0,6,red
9.6,0.56,92.0,10.1,5,red
9.6,0.77,74.0,10.4,6,red
9.8,0.66,59.0,11.5,7,red
9.6,0.77,74.0,10.4,6,red
9.8,0.66,59.0,11.5,7,red
9.3,0.61,87.0,9.7,5,red
7.8,0.62,18.0,9.3,5,red
10.3,0.59,73.0,9.5,6,red
10.0,0.49,50.0,9.2,6,red
10.0,0.49,50.0,9.2,6,red
11.6,0.53,14.0,11.5,7,red
10.3,0.44,13.0,11.5,5,red
13.4,0.27,21.0,9.7,6,red
10.7,0.46,15.0,9.5,5,red
10.2,0.36,41.0,12.5,6,red
10.2,0.36,41.0,12.5,6,red
8.0,0.58,114.0,9.4,6,red
8.4,0.56,44.0,11.0,5,red
7.9,0.65,38.0,11.7,7,red
11.9,0.695,21.0,12.2,7,red
8.9,0.43,16.0,12.5,6,red
7.8,0.43,58.0,10.3,5,red
12.4,0.49,99.0,11.5,6,red
12.5,0.28,29.0,9.8,7,red
12.2,0.34,21.0,9.2,6,red
10.6,0.42,18.0,11.3,6,red
10.9,0.39,14.0,9.8,6,red
10.9,0.39,14.0,9.8,6,red
11.9,0.57,32.0,10.7,6,red
7.0,0.685,63.0,9.9,5,red
6.6,0.815,34.0,12.3,7,red
13.8,0.49,15.0,12.0,6,red
9.6,0.56,46.0,10.0,6,red
9.1,0.785,28.0,9.4,6,red
10.7,0.67,34.0,9.9,6,red
9.1,0.795,26.0,9.4,6,red
7.7,0.665,19.0,9.3,5,red
13.5,0.53,77.0,13.0,5,red
6.1,0.21,165.0,11.9,6,red
6.7,0.75,32.0,12.8,6,red
11.5,0.41,55.0,11.0,5,red
10.5,0.42,29.0,11.7,7,red
11.9,0.43,23.0,10.4,7,red
12.6,0.38,41.0,9.8,6,red
8.2,0.7,81.0,9.4,5,red
8.6,0.45,50.0,9.9,6,red
11.9,0.58,37.0,10.0,5,red
12.5,0.46,15.0,10.2,5,red
12.8,0.615,42.0,10.0,7,red
10.0,0.42,21.0,11.8,6,red
12.8,0.615,42.0,10.0,7,red
10.4,0.575,24.0,9.0,5,red
10.3,0.34,75.0,9.4,5,red
9.4,0.27,18.0,12.0,7,red
6.9,0.765,63.0,9.9,5,red
7.9,0.24,25.0,8.7,6,red
9.1,0.28,46.0,10.6,6,red
7.4,0.55,72.0,9.2,5,red
14.0,0.41,47.0,10.8,6,red
11.5,0.54,15.0,11.8,7,red
11.5,0.45,47.0,11.0,6,red
9.4,0.27,18.0,12.0,7,red
11.4,0.625,24.0,13.3,6,red
8.3,0.42,60.0,10.8,6,red
8.3,0.26,27.0,9.4,6,red
13.7,0.415,43.0,10.0,6,red
8.3,0.26,27.0,9.4,6,red
8.3,0.26,27.0,9.4,6,red
7.7,0.51,54.0,9.2,5,red
7.4,0.63,37.0,9.7,6,red
7.8,0.54,48.0,9.2,6,red
8.3,0.66,42.0,9.6,6,red
7.8,0.46,53.0,9.2,6,red
9.6,0.38,49.0,10.0,7,red
5.6,0.85,88.0,12.9,8,red
13.7,0.415,43.0,10.0,6,red
9.5,0.37,26.0,9.5,5,red
8.4,0.665,95.0,9.1,5,red
12.7,0.6,25.0,9.9,5,red
12.0,0.37,38.0,13.0,7,red
6.6,0.735,124.0,9.9,5,red
11.5,0.59,49.0,11.0,6,red
11.5,0.59,49.0,11.0,6,red
8.7,0.765,42.0,9.4,5,red
6.6,0.735,124.0,9.9,5,red
7.7,0.26,38.0,10.8,6,red
12.2,0.48,64.0,10.5,6,red
11.4,0.6,41.0,10.5,6,red
7.7,0.69,27.0,9.1,5,red
8.7,0.31,25.0,10.1,6,red
9.8,0.44,28.0,10.8,6,red
12.0,0.39,30.0,10.8,7,red
10.4,0.34,16.0,11.3,6,red
12.5,0.46,49.0,9.6,4,red
9.0,0.43,86.0,9.5,6,red
9.1,0.45,78.0,9.5,5,red
7.1,0.735,77.0,9.3,5,red
9.9,0.4,19.0,11.7,7,red
8.8,0.52,122.0,9.5,5,red
8.6,0.725,134.0,9.3,5,red
10.6,0.48,20.0,11.7,6,red
7.0,0.58,124.0,10.5,5,red
11.9,0.38,20.0,10.4,6,red
6.8,0.77,52.0,9.9,5,red
9.5,0.56,67.0,11.8,7,red
6.6,0.84,48.0,12.3,7,red
7.7,0.96,60.0,10.9,5,red
10.5,0.24,24.0,11.0,7,red
7.7,0.96,60.0,10.9,5,red
6.6,0.84,48.0,12.3,7,red
6.4,0.67,48.0,11.4,6,red
9.5,0.78,32.0,10.6,6,red
9.1,0.52,30.0,9.3,5,red
12.8,0.84,35.0,10.4,6,red
10.5,0.24,24.0,11.0,7,red
7.8,0.55,66.0,9.2,5,red
11.9,0.37,24.0,12.8,6,red
12.3,0.39,18.0,9.5,5,red
10.4,0.41,54.0,9.9,6,red
12.3,0.39,18.0,9.5,5,red
8.0,0.67,62.0,10.2,6,red
11.1,0.45,22.0,11.2,6,red
10.4,0.41,54.0,9.9,6,red
7.0,0.62,50.0,9.3,5,red
12.6,0.31,29.0,9.8,8,red
11.9,0.4,27.0,11.3,6,red
15.6,0.685,43.0,11.2,7,red
10.0,0.44,19.0,11.6,7,red
5.3,0.57,27.0,12.5,7,red
9.5,0.735,31.0,10.1,6,red
12.5,0.38,72.0,10.5,5,red
9.3,0.48,16.0,11.2,5,red
8.6,0.53,27.0,10.2,6,red
11.9,0.39,35.0,10.8,6,red
11.9,0.39,35.0,10.8,6,red
8.4,0.37,26.0,9.1,6,red
6.8,0.56,35.0,10.0,6,red
10.4,0.33,22.0,11.2,7,red
7.0,0.23,67.0,11.1,5,red
11.3,0.62,19.0,13.4,8,red
8.9,0.59,22.0,10.3,5,red
9.2,0.63,65.0,9.6,5,red
10.4,0.33,22.0,11.2,7,red
11.6,0.58,47.0,9.0,3,red
9.2,0.43,23.0,11.3,6,red
8.3,0.615,19.0,9.3,5,red
11.0,0.26,25.0,11.8,5,red
8.1,0.66,129.0,9.0,5,red
11.5,0.315,15.0,9.2,6,red
10.0,0.29,26.0,9.7,5,red
10.3,0.5,51.0,11.5,6,red
8.8,0.46,18.0,14.0,6,red
11.4,0.36,21.0,9.2,6,red
8.7,0.82,48.0,9.8,5,red
13.0,0.32,47.0,10.6,5,red
9.6,0.54,52.0,11.4,6,red
12.5,0.37,68.0,10.4,6,red
9.9,0.35,14.0,10.6,5,red
10.5,0.28,24.0,9.4,6,red
9.6,0.68,28.0,10.2,5,red
9.3,0.27,16.0,9.7,5,red
10.4,0.24,20.0,11.0,6,red
9.6,0.68,28.0,10.2,5,red
9.4,0.685,31.0,10.1,6,red
10.6,0.28,23.0,9.2,5,red
9.4,0.3,17.0,11.7,8,red
10.6,0.36,18.0,9.4,5,red
10.6,0.36,18.0,9.4,5,red
10.6,0.44,24.0,13.4,6,red
10.2,0.67,17.0,10.0,5,red
10.2,0.67,17.0,10.0,5,red
10.2,0.645,14.0,10.0,6,red
11.6,0.32,67.0,10.8,7,red
9.3,0.39,26.0,10.2,6,red
9.3,0.775,56.0,10.6,6,red
9.2,0.41,25.0,13.3,7,red
8.9,0.4,27.0,13.4,7,red
8.7,0.69,81.0,11.6,6,red
6.5,0.39,91.0,12.1,6,red
10.7,0.35,16.0,11.0,8,red
7.8,0.52,38.0,9.0,6,red
7.2,0.34,113.0,11.1,5,red
10.7,0.35,16.0,11.0,8,red
8.7,0.69,81.0,11.6,6,red
7.8,0.52,38.0,9.0,6,red
10.4,0.44,76.0,12.0,7,red
10.4,0.44,76.0,12.0,7,red
10.5,0.26,24.0,10.9,7,red
10.5,0.24,22.0,10.8,7,red
10.2,0.49,26.0,12.5,7,red
10.4,0.24,21.0,10.8,7,red
11.2,0.67,13.0,9.5,6,red
10.0,0.59,62.0,10.2,6,red
13.3,0.29,43.0,11.4,7,red
12.4,0.42,43.0,9.5,5,red
10.0,0.59,62.0,10.2,6,red
10.7,0.4,49.0,9.7,6,red
10.5,0.51,15.0,11.8,7,red
10.5,0.51,15.0,11.8,7,red
8.5,0.655,151.0,9.3,5,red
12.5,0.6,14.0,11.9,6,red
10.4,0.61,16.0,8.4,3,red
10.9,0.21,32.0,11.7,6,red
7.3,0.365,106.0,11.0,5,red
9.8,0.25,33.0,10.0,6,red
7.6,0.41,43.0,9.1,5,red
8.2,0.39,133.0,9.8,5,red
9.3,0.4,142.0,9.4,5,red
9.2,0.43,116.0,9.5,5,red
10.4,0.64,53.0,9.9,5,red
7.3,0.365,106.0,11.0,5,red
7.0,0.38,85.0,11.4,6,red
8.2,0.42,55.0,8.7,6,red
9.9,0.63,33.0,9.4,5,red
9.1,0.22,28.0,10.3,6,red
11.9,0.38,42.0,10.3,5,red
11.9,0.38,42.0,10.3,5,red
10.3,0.27,33.0,12.8,6,red
10.0,0.48,32.0,10.0,6,red
9.1,0.22,28.0,10.3,6,red
9.9,0.63,33.0,9.4,5,red
8.1,0.825,13.0,10.7,6,red
12.9,0.35,35.0,12.0,7,red
11.2,0.5,17.0,11.2,5,red
9.2,0.59,47.0,9.6,5,red
9.5,0.46,17.0,11.0,6,red
9.3,0.715,20.0,9.9,5,red
11.2,0.66,53.0,11.0,6,red
14.3,0.31,15.0,8.4,6,red
9.1,0.47,106.0,9.1,5,red
7.5,0.55,28.0,9.5,6,red
10.6,0.31,21.0,10.7,6,red
12.4,0.35,69.0,10.4,6,red
9.0,0.53,25.0,9.4,6,red
6.8,0.51,25.0,9.5,6,red
9.4,0.43,45.0,10.0,6,red
9.5,0.46,44.0,10.0,6,red
5.0,1.04,96.0,11.5,5,red
15.5,0.645,23.0,11.1,5,red
15.5,0.645,23.0,11.1,5,red
10.9,0.53,17.0,11.7,6,red
15.6,0.645,23.0,11.1,5,red
10.9,0.53,17.0,11.7,6,red
13.0,0.47,47.0,12.7,6,red
12.7,0.6,19.0,11.4,5,red
9.0,0.44,121.0,9.2,5,red
9.0,0.54,110.0,9.2,5,red
7.6,0.29,60.0,10.1,6,red
13.0,0.47,47.0,12.7,6,red
12.7,0.6,19.0,11.4,5,red
8.7,0.7,15.0,9.0,6,red
8.7,0.7,15.0,9.0,6,red
9.8,0.5,20.0,10.7,6,red
6.2,0.36,42.0,11.7,6,red
11.5,0.35,37.0,11.0,6,red
6.2,0.36,42.0,11.7,6,red
10.2,0.24,28.0,10.4,5,red
10.5,0.59,47.0,9.6,4,red
10.6,0.34,78.0,10.0,6,red
12.3,0.27,46.0,10.2,6,red
9.9,0.5,14.0,10.0,4,red
8.8,0.44,111.0,9.5,5,red
8.8,0.47,110.0,9.8,5,red
10.6,0.31,40.0,9.8,6,red
12.3,0.5,14.0,9.6,5,red
12.3,0.5,14.0,9.6,5,red
11.7,0.49,15.0,9.2,5,red
12.0,0.28,21.0,9.9,7,red
11.8,0.33,80.0,10.7,7,red
7.6,0.51,38.0,9.6,6,red
11.1,0.31,47.0,10.6,7,red
7.3,0.73,102.0,9.3,5,red
5.0,0.42,50.0,14.0,8,red
10.2,0.29,13.0,10.5,7,red
9.0,0.45,75.0,9.7,5,red
6.6,0.39,149.0,11.5,6,red
9.0,0.45,75.0,9.7,5,red
9.9,0.49,43.0,9.0,5,red
7.9,0.72,38.0,9.5,5,red
8.9,0.595,109.0,9.3,5,red
12.4,0.4,24.0,9.3,6,red
11.9,0.58,18.0,10.0,6,red
8.5,0.585,30.0,9.8,6,red
12.7,0.59,22.0,9.3,6,red
8.2,0.915,23.0,10.0,4,red
13.2,0.46,35.0,9.0,6,red
7.7,0.835,14.0,9.3,5,red
13.2,0.46,35.0,9.0,6,red
8.3,0.58,63.0,9.1,6,red
8.3,0.6,24.0,9.2,6,red
9.4,0.41,20.0,12.2,7,red
8.8,0.48,52.0,10.5,6,red
10.1,0.65,65.0,10.4,6,red
6.3,0.36,39.0,12.7,6,red
8.8,0.24,57.0,9.2,5,red
13.2,0.38,16.0,9.4,5,red
7.5,0.64,29.0,10.0,6,red
8.2,0.39,29.0,9.8,5,red
9.2,0.755,103.0,10.2,6,red
9.6,0.6,71.0,9.7,5,red
9.6,0.6,71.0,9.7,5,red
11.5,0.31,28.0,9.8,6,red
11.4,0.46,17.0,10.2,5,red
11.3,0.37,16.0,9.3,5,red
8.3,0.54,112.0,9.4,5,red
8.2,0.56,104.0,9.4,5,red
10.0,0.58,32.0,9.5,5,red
7.9,0.51,45.0,12.1,6,red
6.8,0.69,58.0,10.2,5,red
6.8,0.69,58.0,10.2,5,red
8.8,0.6,15.0,9.1,5,red
8.8,0.6,15.0,9.1,5,red
8.7,0.54,31.0,9.3,6,red
7.6,0.685,84.0,9.3,5,red
8.7,0.54,31.0,9.3,6,red
10.4,0.28,19.0,9.5,5,red
7.6,0.41,43.0,10.5,6,red
10.1,0.935,86.0,11.3,4,red
7.9,0.35,102.0,9.5,5,red
8.7,0.84,33.0,9.7,5,red
9.6,0.88,147.0,9.4,5,red
9.5,0.885,145.0,9.4,5,red
7.7,0.915,23.0,10.2,7,red
8.9,0.29,57.0,10.3,6,red
9.9,0.54,40.0,9.4,5,red
9.5,0.59,68.0,9.5,5,red
9.9,0.54,40.0,9.4,5,red
9.5,0.59,68.0,9.5,5,red
9.9,0.54,40.0,9.4,5,red
7.8,0.64,11.0,10.1,7,red
7.3,0.67,20.0,10.1,5,red
8.3,0.845,14.0,11.0,4,red
8.7,0.48,28.0,11.2,7,red
6.7,0.42,148.0,11.3,6,red
10.7,0.43,32.0,9.6,5,red
9.8,0.88,155.0,11.2,5,red
15.9,0.36,71.0,14.9,5,red
9.4,0.33,30.0,12.0,6,red
8.6,0.47,29.0,9.5,5,red
9.7,0.55,53.0,9.4,5,red
10.7,0.43,32.0,9.6,5,red
12.0,0.5,42.0,10.5,7,red
7.2,0.52,20.0,9.6,6,red
7.1,0.84,13.0,11.0,4,red
7.2,0.52,20.0,9.6,6,red
7.5,0.42,42.0,9.0,5,red
7.2,0.57,27.0,9.6,6,red
10.1,0.28,13.0,10.2,6,red
12.1,0.4,54.0,10.2,5,red
9.4,0.59,48.0,9.7,5,red
8.3,0.49,16.0,9.5,6,red
11.3,0.34,15.0,9.2,6,red
10.0,0.73,31.0,11.0,5,red
11.3,0.34,15.0,9.2,6,red
6.9,0.4,45.0,10.0,5,red
8.2,0.73,13.0,9.5,5,red
9.8,1.24,151.0,9.5,5,red
8.2,0.73,13.0,9.5,5,red
10.8,0.4,17.0,9.3,6,red
9.3,0.41,31.0,10.2,5,red
10.8,0.4,17.0,9.3,6,red
8.6,0.8,31.0,9.9,5,red
8.3,0.78,87.0,10.0,5,red
10.8,0.26,49.0,9.6,5,red
13.3,0.43,40.0,9.0,5,red
8.0,0.45,29.0,10.2,6,red
8.5,0.46,58.0,9.8,5,red
8.1,0.78,15.0,11.3,5,red
9.8,0.98,152.0,9.4,5,red
8.1,0.78,15.0,11.3,5,red
7.1,0.65,40.0,9.1,5,red
9.1,0.64,38.0,9.7,5,red
7.7,0.66,9.0,9.4,5,red
8.1,0.38,17.0,9.4,5,red
7.4,1.185,14.0,10.7,3,red
9.2,0.92,93.0,9.8,5,red
8.6,0.49,62.0,9.0,5,red
9.0,0.48,122.0,9.4,5,red
9.0,0.47,125.0,9.4,5,red
5.1,0.47,44.0,12.8,6,red
